SO NO GAME — candidatos a remocao (221)
=======================================

[revisar       ] IoT Button  |  Internet Das Coisas
[revisar       ] IoT EduKit  |  Internet Das Coisas
[revisar       ] IoT ExpressLink  |  Internet Das Coisas
[revisar       ] AWS IoT FleetHub  |  Internet Das Coisas
[revisar       ] IoT RoboRunner  |  Internet Das Coisas
[revisar       ] Kibana  |  Análise
[revisar       ] Amazon Kinesis Data Streams  |  Análise
[revisar       ] KMS Key Management Service (KMS)  |  Segurança Identidade Conformidade
[revisar       ] Lambda@Edge  |  Redes E Entrega De Conteúdo
[revisar       ] Lambda SnapStart  |  Computação
[revisar       ] Lex Automated Chatbot Designer  |  Machine Learning
[revisar       ] Local Zones  |  Computação
[revisar       ] Lookout for Metrics  |  Machine Learning
[DESCONTINUADO?] Lookout for Vision  |  Machine Learning
[revisar       ] Managed Grafana  |  Gerenciamento E Governança
[revisar       ] Managed Grafana Enhancements  |  Gerenciamento E Governança
[revisar       ] Managed Service Apache Flink  |  Análise
[revisar       ] Managed Service Prometheus  |  Gerenciamento E Governança
[NAO-SERVICO   ] Managed Str. Apache Kafka Serverless  |  Análise
[revisar       ] Managed Streaming Kafka (MSK)  |  Análise
[revisar       ] Management Console Mobile Application  |  Gerenciamento E Governança
[revisar       ] Marketplace for Containers Anywhere  |  Contêineres
[revisar       ] MemoryDB for Redis  |  Banco De Dados
[revisar       ] Migration Evaluator  |  Migração
[revisar       ] NACL  |  Redes E Entrega De Conteúdo
[revisar       ] NAT Gateway  |  Redes E Entrega De Conteúdo
[revisar       ] NAT instances  |  Redes E Entrega De Conteúdo
[revisar       ] Neptune Analytics  |  Banco De Dados
[revisar       ] Network Firewall  |  Segurança Identidade Conformidade
[NAO-SERVICO   ] New exp. API cap. QuickSight  |  Análise
[DESCONTINUADO?] Nimble Studio  |  Serviços De Mídia
[revisar       ] Nível N Cadeia de Suprimentos  |  Aplicação Empresarial
[revisar       ] Amazon Nova  |  IA Generativa
[revisar       ] One Enterprise  |  Aplicação Empresarial
[revisar       ] OpenSearch Sem Servidor  |  Análise
[DESCONTINUADO?] OpsWorks  |  Gerenciamento E Governança
[revisar       ] Outposts 1U e 2U  |  Computação
[revisar       ] Outposts rack  |  Computação
[revisar       ] Outposts Rack Enhancements  |  Computação
[revisar       ] Outposts servers  |  Computação
[revisar       ] ParallelCluster  |  Computação
[revisar       ] Partner Device Catalog  |  Internet Das Coisas
[revisar       ] Personal Health Dashboard  |  Gerenciamento E Governança
[revisar       ] Private 5G  |  Redes E Entrega De Conteúdo
[revisar       ] Private CA  |  Segurança Identidade Conformidade
[revisar       ] PrivateLink  |  Redes E Entrega De Conteúdo
[NAO-SERVICO   ] PyTorch on AWS  |  Machine Learning
[revisar       ] Q na Cadeia de Suprimentos AWS  |  Aplicação Empresarial
[revisar       ] Q no QuickSight  |  Análise
[revisar       ] QLDB  |  Blockchain
[revisar       ] QLDB Enhancements  |  Blockchain
[revisar       ] QuickSight Paginated Reports  |  Análise
[revisar       ] RDS  |  Banco De Dados
[revisar       ] RDS Custom for SQL  |  Banco De Dados
[NAO-SERVICO   ] RDS MySQL zero-ETL Redshift  |  Banco De Dados
[revisar       ] RDS para Db2  |  Banco De Dados
[revisar       ] Redshift para Apache Spark  |  Análise
[revisar       ] Redshift sem servidor  |  Análise
[NAO-SERVICO   ] Relatórios de instâncias reservadas (IRs)  |  Gerenciamento Financeiro Na Nuvem
[revisar       ] Resource Groups  |  Gerenciamento E Governança
[revisar       ] RoboMaker  |  Robótica
[revisar       ] Route Table  |  Redes E Entrega De Conteúdo
[revisar       ] S3 Express One Zone  |  Armazenamento
[revisar       ] S3 Glacier Deep Archive  |  Armazenamento
[revisar       ] S3 Glacier Instant Retrieval  |  Armazenamento
[revisar       ] S3 Intelligent-Tiering  |  Armazenamento
[revisar       ] S3 Inventory  |  Armazenamento
[revisar       ] S3 multipart upload  |  Armazenamento
[revisar       ] S3 on Outposts  |  Armazenamento
[revisar       ] S3 One Zone-IA  |  Armazenamento
[revisar       ] S3 Standard  |  Armazenamento
[revisar       ] S3 Standard-IA  |  Armazenamento
[revisar       ] S3 Tranfer Acceleration  |  Armazenamento
[revisar       ] Amazon S3 Vectors  |  Armazenamento
[revisar       ] SageMaker Canvas  |  Machine Learning
[revisar       ] SageMaker Ground Truth  |  Machine Learning
[revisar       ] SageMaker Ground Truth Plus  |  Machine Learning
[revisar       ] SageMaker HyperPod  |  Machine Learning
[revisar       ] Amazon SageMaker Lakehouse  |  Análise
[revisar       ] SageMaker Studio  |  Machine Learning
[revisar       ] SageMaker Studio Lab  |  Machine Learning
[revisar       ] SageMaker supports geospatial ML  |  Machine Learning
[revisar       ] SageMaker Training Compiler  |  Machine Learning
[revisar       ] Savings Plans  |  Gerenciamento Financeiro Na Nuvem
[revisar       ] SDKs para a AWS  |  Ferramentas De Desenvolvedor
[revisar       ] Security Token Service  |  Segurança Identidade Conformidade
[revisar       ] Secutity Groups (SG)  |  Redes E Entrega De Conteúdo
[revisar       ] Service Management Connector  |  Gerenciamento E Governança
[revisar       ] Shield  |  Segurança Identidade Conformidade
[revisar       ] Shield Advanced  |  Segurança Identidade Conformidade
[revisar       ] SimSpace Weaver  |  Computação
[revisar       ] Single Sign-On  |  Segurança Identidade Conformidade
[revisar       ] Sistemas de arquivos escaláveis  |  Armazenamento
[revisar       ] Site-to-Site VPN  |  Redes E Entrega De Conteúdo
[revisar       ] Snow computação de borda  |  Armazenamento
[revisar       ] Snow migração origem/destino  |  Migração
[revisar       ] Snowball  |  Migração
[revisar       ] Snowcone  |  Armazenamento
[revisar       ] AWS Snowmobile  |  Migração
[revisar       ] Subnets  |  Redes E Entrega De Conteúdo
[revisar       ] Suporte Backup VMware  |  Armazenamento
[revisar       ] Suporte Spark no Athena  |  Análise
[revisar       ] Sust. Cadeia Suprimentos AWS  |  Sust. Cadeia de Suprimentos AWS
[revisar       ] TensorFlow na AWS  |  Machine Learning
[revisar       ] Traffic Mirroring  |  Redes E Entrega De Conteúdo
[revisar       ] Transformação de código do Q  |  IA Generativa
[revisar       ] Transit Gateway  |  Redes E Entrega De Conteúdo
[revisar       ] Virtual Private Gateway  |  Redes E Entrega De Conteúdo
[NAO-SERVICO   ] VMware Cloud on AWS  |  Computação
[revisar       ] VPC Endpoints  |  Redes E Entrega De Conteúdo
[revisar       ] VPC Flow logs  |  Redes E Entrega De Conteúdo
[revisar       ] VPC Lattice  |  Redes E Entrega De Conteúdo
[revisar       ] VPC Peering  |  Redes E Entrega De Conteúdo
[revisar       ] VPN CloudHub  |  Redes E Entrega De Conteúdo
[revisar       ] WAF  |  Segurança Identidade Conformidade
[revisar       ] Wavelength  |  Computação
